team,pake,pase,wins,loss,w_percent,r64,r32,s16,e8,f4,f2,champ,top2,f4_percent,champ_percent,from,to
Pittsburgh,-3.5,-4.6,8,8,0.5,8,6,1,1,0,0,0,2,63.3,20.1,2008,2023
Cincinnati,-3.6,-3.4,6,9,0.4,9,5,1,0,0,0,0,1,43.6,11.6,2008,2023
Oklahoma St.,-4.1,-4.1,2,7,0.222,7,2,0,0,0,0,0,0,19.3,2.7,2008,2023
Ohio St.,-4.1,-2.7,15,11,0.577,11,8,4,2,1,0,0,5,85.9,43.7,2008,2023
Clemson,-4.2,-3.5,2,6,0.25,6,1,1,0,0,0,0,0,22.3,3.2,2008,2023
Purdue,-4.4,-4.4,16,13,0.552,13,9,6,1,0,0,0,2,75.6,23.3,2008,2023
Utah St.,-4.4,-3.6,0,6,0,6,0,0,0,0,0,0,0,12.4,1.5,2008,2023
Texas,-5.5,-4.6,10,12,0.455,12,6,2,2,0,0,0,2,64.4,16.9,2008,2023
Georgetown,-6.2,-8.5,3,7,0.3,7,3,0,0,0,0,0,2,38.7,7.3,2008,2023
Virginia,-6.7,-7.6,13,8,0.619,9,5,3,2,1,1,1,5,92.8,51.9,2008,2023
